query_id	responder	response_text	answered	confidence	source_cited	richness_score	score	query_text	query_type	segment	entity_ypid	entity_name	location
Q001	bing_copilot	I don't have specific information about Joe's Diner's pet policy.	no	low	none	1	0.055555555555555566	Is Joe's Diner dog-friendly?	amenity	restaurant		Joe's Diner	Chicago, IL
Q001	gemini	Based on Yelp reviews, Joe's Diner appears to be dog-friendly with outdoor seating that welcomes pets.	yes	high	yelp	4	0.8888888888888891	Is Joe's Diner dog-friendly?	amenity	restaurant		Joe's Diner	Chicago, IL
Q001	perplexity	Yes, Joe's Diner is dog-friendly. Multiple visitors mention bringing their dogs to the outdoor patio area.	yes	high	multiple_web	4	0.8888888888888891	Is Joe's Diner dog-friendly?	amenity	restaurant		Joe's Diner	Chicago, IL
Q002	bing_copilot	Walmart Supercenter in Allentown is open from 6am to 11pm daily.	yes	high	licensed	3	0.8333333333333334	What are the hours for Walmart Allentown?	factual	retail	1C597BB6B0AD12BD	Walmart Supercenter	Allentown, PA
Q002	gemini	The Walmart Supercenter at 1091 Mill Creek Rd in Allentown, PA is open 6:00 AM - 11:00 PM.	yes	high	google	3	0.8333333333333334	What are the hours for Walmart Allentown?	factual	retail	1C597BB6B0AD12BD	Walmart Supercenter	Allentown, PA
Q002	perplexity	Walmart Allentown hours are 6am-11pm Monday through Sunday.	yes	high	walmart_website	3	0.8333333333333334	What are the hours for Walmart Allentown?	factual	retail	1C597BB6B0AD12BD	Walmart Supercenter	Allentown, PA
Q003	bing_copilot	STK Steakhouse is an upscale steakhouse in Midtown Manhattan.	partial	medium	none	2	0.3611111111111111	What's the vibe at STK Steakhouse Midtown?	vibe	restaurant	F1217DD05A21364A	STK Steakhouse Midtown NYC	New York, NY
Q003	gemini	STK Midtown has a trendy, nightclub-like atmosphere with DJ music, dim lighting, and a see-and-be-seen crowd. It's known for its lively energy, especially on weekend nights.	yes	high	yelp	5	0.9444444444444445	What's the vibe at STK Steakhouse Midtown?	vibe	restaurant	F1217DD05A21364A	STK Steakhouse Midtown NYC	New York, NY
Q003	perplexity	STK Steakhouse Midtown offers a unique dining experience blending a high-end steakhouse with a chic lounge atmosphere. Expect loud music, stylish decor, and a party vibe especially after 9pm.	yes	high	multiple_web	5	0.9444444444444445	What's the vibe at STK Steakhouse Midtown?	vibe	restaurant	F1217DD05A21364A	STK Steakhouse Midtown NYC	New York, NY
Q004	bing_copilot	Harbor Freight has a parking lot available for customers.	yes	medium	none	2	0.5277777777777778	Does Harbor Freight have parking?	amenity	retail	9AB46CA55E2296D	Harbor Freight	Chicago, IL
Q004	gemini	Yes, the Harbor Freight on W Fullerton Ave in Chicago has a dedicated parking lot with ample spaces.	yes	high	google_maps	3	0.8333333333333334	Does Harbor Freight have parking?	amenity	retail	9AB46CA55E2296D	Harbor Freight	Chicago, IL
Q004	perplexity	Harbor Freight Chicago location has free parking available in their lot.	yes	medium	website	2	0.6944444444444445	Does Harbor Freight have parking?	amenity	retail	9AB46CA55E2296D	Harbor Freight	Chicago, IL
Q005	bing_copilot	I don't have specific information about whether Twisted Biscuit is kid-friendly.	no	low	none	1	0.055555555555555566	Is Twisted Biscuit good for kids?	amenity	restaurant	E031EFCFE184CB95	Twisted Biscuit Brunch Co.	Edwardsville, IL
Q005	gemini	Twisted Biscuit Brunch Co. is family-friendly with a casual atmosphere. Reviews mention it's good for kids with options like pancakes and a welcoming environment.	yes	high	yelp	4	0.8888888888888891	Is Twisted Biscuit good for kids?	amenity	restaurant	E031EFCFE184CB95	Twisted Biscuit Brunch Co.	Edwardsville, IL
Q005	perplexity	Yes, Twisted Biscuit is great for families. They have high chairs, a kid-friendly menu, and a relaxed brunch atmosphere.	yes	high	multiple_web	4	0.8888888888888891	Is Twisted Biscuit good for kids?	amenity	restaurant	E031EFCFE184CB95	Twisted Biscuit Brunch Co.	Edwardsville, IL
Q006	bing_copilot	Circuit of the Americas has 17,040 reviews with an overall positive rating.	partial	medium	licensed	2	0.5277777777777778	What do reviews say about Circuit of the Americas?	reviews	entertainment	97310C0A3A98F6B4	Circuit of the Americas	Del Valle, TX
Q006	gemini	Reviews of Circuit of the Americas praise the world-class facilities, great views of the track, and excellent organization of events. Some mention parking can be challenging during major events like F1.	yes	high	google_reviews	5	0.9444444444444445	What do reviews say about Circuit of the Americas?	reviews	entertainment	97310C0A3A98F6B4	Circuit of the Americas	Del Valle, TX
Q006	perplexity	Circuit of the Americas is highly rated for its modern facilities and event experience. Visitors love the views and atmosphere but note that food is expensive and parking can be a trek.	yes	high	tripadvisor	5	0.9444444444444445	What do reviews say about Circuit of the Americas?	reviews	entertainment	97310C0A3A98F6B4	Circuit of the Americas	Del Valle, TX
